,text,Status
0,@115712 I understand. I would like to assist you. We would need to get you into a private secured link to further assist.,FALSE
1,@sprintcare and how do you propose we do that,FALSE
2,@sprintcare I have sent several private messages and no one is responding as usual,FALSE
3,@115712 Please send us a Private Message so that we can further assist you. Just click ‘Message’ at the top of your profile.,FALSE
4,@sprintcare I did.,FALSE
5,"@115712 Can you please send us a private message, so that I can gain further details about your account?",FALSE
6,@sprintcare is the worst customer service,FALSE
7,"@115713 This is saddening to hear. Please shoot us a DM, so that we can look into this for you. -KC",TRUE
8,@sprintcare You gonna magically change your connectivity for me and my whole family ? 🤥 💯,FALSE
9,"@115713 We understand your concerns and we'd like for you to please send us a Direct Message, so that we can further assist you. -AA",TRUE
10,@sprintcare Since I signed up with you....Since day 1,FALSE
11,"@115713 H there! We'd definitely like to work with you on this, how long have you been experiencing this issue? -AA",TRUE
12,"@115714 y’all lie about your “great” connection. 5 bars LTE, still won’t load something. Smh.",TRUE
13,@115715 Please send me a private message so that I can send you the link to access your account. -FR,TRUE
14,"@115714 whenever I contact customer support, they tell me I have shortcode enabled on my account, but I have never in the 4 years I've tried https://t.co/0G98RtNxPK",FALSE
15,@115716 What information is incorrect? ^JK,TRUE
16,@Ask_Spectrum Would you like me to email you a copy of one since Spectrum is not updating your training?,FALSE
17,"@115716 Our department is part of the corporate office.  If you're particular area has gone to this format, we were unawa... https://t.co/P7XCmTzPQj",FALSE
18,@Ask_Spectrum I received this from your corporate office would you like a copy?,FALSE
19,@115716 No thank you. ^JK,TRUE
20,@Ask_Spectrum The correct way to do it is via an OCS Account Takeover and email Consent Form it does not need to be done in a local office,FALSE
21,@Ask_Spectrum That is INCORRECT information I have the form in front of me that is faxed over-maybe you need to maintain up to date information,FALSE
22,@115716 The information pertaining to the account assumption is correct.  This does need to be done at a local outlet wit... https://t.co/P7XCmTzPQj,FALSE
23,actually that's a broken link you sent me and incorrect information https://t.co/V4yfrHR8VI,FALSE
24,"@115717 Hello, My apologies for any frustrations or inconvenience. I’d be happy to look into this for you? ^MG",TRUE
25,"Yo @Ask_Spectrum, your customer service reps are super nice— but imma start trippin if y’all don’t get my service going!",FALSE
26,@115718 I apologize for the inconvenience. I will be glad to assist you. Can you DM me your Name and acct # or phone #? -JB,TRUE
27,My picture on @Ask_Spectrum pretty much every day. Why should I pay $171 per month? https://t.co/U6ptkQa5Ik,FALSE
28,"@115719 Help has arrived! We are sorry to see that you are having trouble. How can we help?
^HSB",FALSE
29,"@VerizonSupport I finally got someone that helped me, thanks!",FALSE
30,"@115719 Awesome! If you ever need us we are just a tweet away.
^HSB",FALSE
31,somebody from @VerizonSupport please help meeeeee 😩😩😩😩 I'm having the worst luck with your customer service,FALSE
32,"@115720 Have your friend message us.
^ACM",FALSE
33,@VerizonSupport My friend is without internet we need to play videogames together please our skills diminish every moment without internetz,FALSE
34,"@115721 Please follow and DM us so that we can look into this order. 
^HSB",FALSE
35,@VerizonSupport What else can I provide? They refuse to help me because they cannot validate the account...,FALSE
36,"@115721 We would not be able to verify anything without authenticating your account.
^JAY",FALSE
37,"@VerizonSupport How? I have my phone number and email, that's it. How did I get equipment and service? I'm literally trying to pay and nobody can find me?",FALSE
38,"@115721 We can use the order number to locate the account but will need to do so in our secure one on one chat. Please follow and DM us. 
^HSB",FALSE
39,@115722 MD. And this was sent to the wrong address https://t.co/dMQ1WZXJOk,FALSE
40,"@115721 Hello Duke, Do you have a copy of your bill? What state are your services located in?
^NHP",TRUE
41,@115722 Nobody can find my account or number. I walked out of a store with this. I've explained that they can find my acct via my devices serial #..,FALSE
42,"@115721 Are you referring to wireless or residential service?
^JAY",FALSE
43,"@115722 tried to pay a bill for 60 days. No service, rude CS, and several transfers. Look up my equipment # and give me an acct #!",FALSE
44,"@115723 Is the light on top red?
^JAY",FALSE
45,"@VerizonSupport Don’t know, router is downstairs. But it’s just the WiFi Nothing connected to Ethernet",FALSE
46,"@115723 Did the lights change on the router when this happened?
^JAY",FALSE
47,@VerizonSupport Just randomly boots me offline there it goes again,FALSE
48,"@115723 Do you have our Fios service?  When services go out, does the internet light on the router change color? ^BCW",TRUE
49,@VerizonSupport Yep,FALSE
50,"@115723 Are all your services cutting out?
^ACM",FALSE
51,@VerizonSupport Cuts out every 20 minutes this is ridiculous,FALSE
52,@115723 What did we do to make you feel this way and how can we fix things between us? ^KMG,TRUE
53,@115722 is the worst ISP I’ve ever had,FALSE
54,"@115724 In what area are you located? All of your services are down at this time?
^HSB",FALSE
55,".@VerizonSupport @115725 @115726                                                 &gt;All of VERIZON IS DOWN&lt;
When can we expect a fix ?",FALSE
56,"@115727 Which app are you referring too? 
^ACM",FALSE
57,@115725 fix your app it won't even open,FALSE
58,@115728 I still think you look great! -Becky,TRUE
59,@ChipotleTweets @ChipotleTweets Becky is very nice,FALSE
60,"@ChipotleTweets @28 
I don't fit in my Veggie Burrito costume #Halloween https://t.co/7tJDVpzLWn",FALSE
